"week","rank","song","artist"
2020-01-18,10,"Lose You To Love Me","Selena Gomez"
2020-01-18,11,"Ballin'","Mustard & Roddy Ricch"
2020-01-18,12,"BOP","DaBaby"
2020-01-18,13,"HIGHEST IN THE ROOM","Travis Scott"
2020-01-18,14,"Don't Start Now","Dua Lipa"
2020-01-18,15,"No Guidance","Chris Brown Featuring Drake"
2020-01-18,16,"Trampoline","SHAED"
2020-01-18,17,"Heartless","The Weeknd"
2020-01-18,18,"Senorita","Shawn Mendes & Camila Cabello"
2020-01-18,19,"everything i wanted","Billie Eilish"
2020-01-18,20,"Truth Hurts","Lizzo"
2020-01-18,21,"Hot","Young Thug Featuring Gunna"
2020-01-18,22,"Woah","Lil Baby"
2020-01-18,23,"Panini","Lil Nas X"
2020-01-18,24,"Adore You","Harry Styles"
2020-01-18,25,"Only Human","Jonas Brothers"
2020-01-18,26,"The Bones","Maren Morris"
2020-01-18,27,"One Man Band","Old Dominion"
2020-01-18,28,"Bandit","Juice WRLD & YoungBoy Never Broke Again"
2020-01-18,29,"Hot Girl Bummer","blackbear"
2020-01-18,30,"Futsal Shuffle 2020","Lil Uzi Vert"
2020-01-18,31,"Even Though I'm Leaving","Luke Combs"
2020-01-18,32,"I Don't Care","Ed Sheeran & Justin Bieber"
2020-01-18,33,"Bad Guy","Billie Eilish"
2020-01-18,34,"Sucker","Jonas Brothers"
2020-01-18,35,"High Fashion","Roddy Ricch Featuring Mustard"
2020-01-18,36,"Lover","Taylor Swift"
2020-01-18,37,"On Chill","Wale Featuring Jeremih"
2020-01-18,38,"Falling","Trevor Daniel"
2020-01-18,39,"Blinding Lights","The Weeknd"
2020-01-18,40,"What If I Never Get Over You","Lady Antebellum"
2020-01-18,41,"Suicidal","YNW Melly & Juice WRLD"
2020-01-18,42,"Talk","Khalid"
2020-01-18,43,"Graveyard","Halsey"
2020-01-18,44,"My Oh My","Camila Cabello Featuring DaBaby"
2020-01-18,45,"Beautiful People","Ed Sheeran Featuring Khalid"
2020-01-18,46,"Old Town Road","Lil Nas X Featuring Billy Ray Cyrus"
2020-01-18,47,"Ridin' Roads","Dustin Lynch"
2020-01-18,48,"Juicy","Doja Cat & Tyga"
2020-01-18,49,"Playing Games","Summer Walker"
2020-01-18,50,"Suge","DaBaby"
2020-01-18,51,"Heartache Medication","Jon Pardi"
2020-01-18,52,"OUT WEST","JACKBOYS Featuring Young Thug"
2020-01-18,53,"VIBEZ","DaBaby"
2020-01-18,54,"Kinfolks","Sam Hunt"
2020-01-18,55,"Heat","Chris Brown Featuring Gunna"
2020-01-18,56,"Start Wit Me","Roddy Ricch & Gunna"
2020-01-18,57,"Into The Unknown","Idina Menzel & AURORA"
2020-01-18,58,"No Idea","Don Toliver"
2020-01-18,59,"Heart On Ice","Rod Wave"
2020-01-18,60,"U Played","MoneyBagg Yo Featuring Lil Baby"
2020-01-18,61,"South Of The Border","Ed Sheeran Featuring Camila Cabello & Cardi B"
2020-01-18,62,"TOES","DaBaby Featuring Lil Baby & Moneybagg Yo"
2020-01-18,63,"Homesick","Kane Brown"
2020-01-18,64,"Remember You Young","Thomas Rhett"
2020-01-18,65,"I Hope","Gabby Barrett"
2020-01-18,66,"Take What You Want","Post Malone Featuring Ozzy Osbourne & Travis Scott"
2020-01-18,67,"Slide","H.E.R. Featuring YG"
2020-01-18,68,"RITMO (Bad Boys For Life)","The Black Eyed Peas X J Balvin"
2020-01-18,69,"BEST ON EARTH","Russ & BIA"
2020-01-18,70,"SUGAR","BrockHampton"
2020-01-18,71,"GANG GANG","JACKBOYS & Sheck Wes"
2020-01-18,72,"Camelot","NLE Choppa"
2020-01-18,73,"Leave Em Alone","Layton Greene, Lil Baby, City Girls & PnB Rock"
2020-01-18,74,"We Back","Jason Aldean"
2020-01-18,75,"What She Wants Tonight","Luke Bryan"
2020-01-18,76,"HAD ENOUGH","Don Toliver Featuring Quavo & Offset"
2020-01-18,77,"Nice To Meet Ya","Niall Horan"
2020-01-18,78,"Make Me Want To","Jimmie Allen"
2020-01-18,79,"Tip Toe","Roddy Ricch Featuring A Boogie Wit da Hoodie"
2020-01-18,80,"Easy","DaniLeigh Featuring Chris Brown"
2020-01-18,81,"Watermelon Sugar","Harry Styles"
2020-01-18,82,"More Hearts Than Mine","Ingrid Andress"
2020-01-18,83,"I Wish Grandpas Never Died","Riley Green"
2020-01-18,84,"homecoming queen?","Kelsea Ballerini"
2020-01-18,85,"223's","YNW Melly & 9lokknine"
2020-01-18,86,"Peta","Roddy Ricch Featuring Meek Mill"
2020-01-18,87,"Tusa","Karol G & Nicki Minaj"
2020-01-18,88,"Jerry Sprunger","Tory Lanez & T-Pain"
2020-01-18,89,"Enemies","Post Malone Featuring DaBaby"
2020-01-18,90,"All I Want","Olivia Rodrigo"
2020-01-18,91,"July","Noah Cyrus Featuring Leon Bridges"
2020-01-18,92,"Vete","Bad Bunny"
2020-01-18,93,"I Hope You're Happy Now","Carly Pearce & Lee Brice"
2020-01-18,94,"20/20","Lil Tjay"
2020-01-18,95,"Say So","Doja Cat"
2020-01-18,96,"Make No Sense","YoungBoy Never Broke Again"
2020-01-18,97,"Slow Dance In A Parking Lot","Jordan Davis"
2020-01-18,98,"ORANGE SODA","Baby Keem"
2020-01-18,99,"All Dat","Moneybagg Yo X Megan Thee Stallion"
2020-01-18,100,"WHAT TO DO?","JACKBOYS Featuring Don Toliver"
2020-01-25,1,"The Box","Roddy Ricch"
2020-01-25,2,"Life Is Good","Future Featuring Drake"
2020-01-25,3,"Circles","Post Malone"
2020-01-25,4,"Memories","Maroon 5"
2020-01-25,5,"Lose You To Love Me","Selena Gomez"
2020-01-25,6,"Someone You Loved","Lewis Capaldi"
2020-01-25,7,"10,000 Hours","Dan + Shay & Justin Bieber"
2020-01-25,8,"Dance Monkey","Tones And I"
2020-01-25,9,"Roxanne","Arizona Zervas"
2020-01-25,10,"Yummy","Justin Bieber"
2020-01-25,11,"Good As Hell","Lizzo"
2020-01-25,12,"BOP","DaBaby"
2020-01-25,13,"Ballin'","Mustard & Roddy Ricch"
2020-01-25,14,"Don't Start Now","Dua Lipa"
2020-01-25,15,"HIGHEST IN THE ROOM","Travis Scott"
2020-01-25,16,"Sum 2 Prove","Lil Baby"
2020-01-25,17,"Good News","Mac Miller"
2020-01-25,18,"Heartless","The Weeknd"
2020-01-25,19,"No Guidance","Chris Brown Featuring Drake"
2020-01-25,20,"Trampoline","SHAED"
2020-01-25,21,"Woah","Lil Baby"
2020-01-25,22,"everything i wanted","Billie Eilish"
2020-01-25,23,"The Bones","Maren Morris"
2020-01-25,24,"Senorita","Shawn Mendes & Camila Cabello"
2020-01-25,25,"Hot Girl Bummer","blackbear"
2020-01-25,26,"Adore You","Harry Styles"
2020-01-25,27,"High Fashion","Roddy Ricch Featuring Mustard"
2020-01-25,28,"Panini","Lil Nas X"
2020-01-25,29,"You should be sad","Halsey"
2020-01-25,30,"Rare","Selena Gomez"
2020-01-25,31,"Hot","Young Thug Featuring Gunna"
2020-01-25,32,"Blinding Lights","The Weeknd"
2020-01-25,33,"Truth Hurts","Lizzo"
2020-01-25,34,"Only Human","Jonas Brothers"
2020-01-25,35,"Bandit","Juice WRLD & YoungBoy Never Broke Again"
2020-01-25,36,"One Man Band","Old Dominion"
2020-01-25,37,"Even Though I'm Leaving","Luke Combs"
2020-01-25,38,"I Don't Care","Ed Sheeran & Justin Bieber"
2020-01-25,39,"Suicidal","YNW Melly & Juice WRLD"
2020-01-25,40,"Bad Guy","Billie Eilish"
2020-01-25,41,"Falling","Trevor Daniel"
2020-01-25,42,"Sucker","Jonas Brothers"
2020-01-25,43,"Futsal Shuffle 2020","Lil Uzi Vert"
2020-01-25,44,"My Oh My","Camila Cabello Featuring DaBaby"
2020-01-25,45,"Juicy","Doja Cat & Tyga"
2020-01-25,46,"On Chill","Wale Featuring Jeremih"
2020-01-25,47,"Heartache Medication","Jon Pardi"
2020-01-25,48,"Talk","Khalid"
2020-01-25,49,"What If I Never Get Over You","Lady Antebellum"
2020-01-25,50,"Lover","Taylor Swift"
2020-01-25,51,"Kinfolks","Sam Hunt"
2020-01-25,52,"Ridin' Roads","Dustin Lynch"
2020-01-25,53,"U Played","MoneyBagg Yo Featuring Lil Baby"
2020-01-25,54,"Playing Games","Summer Walker"
2020-01-25,55,"TOES","DaBaby Featuring Lil Baby & Moneybagg Yo"
2020-01-25,56,"South Of The Border","Ed Sheeran Featuring Camila Cabello & Cardi B"
2020-01-25,57,"VIBEZ","DaBaby"
2020-01-25,58,"Graveyard","Halsey"
2020-01-25,59,"Heat","Chris Brown Featuring Gunna"
2020-01-25,60,"Homesick","Kane Brown"
2020-01-25,61,"Heart On Ice","Rod Wave"
2020-01-25,62,"Start Wit Me","Roddy Ricch & Gunna"
2020-01-25,63,"No Idea","Don Toliver"
2020-01-25,64,"I Hope","Gabby Barrett"
2020-01-25,65,"OUT WEST","JACKBOYS Featuring Young Thug"
2020-01-25,66,"SUGAR","BrockHampton"
2020-01-25,67,"RITMO (Bad Boys For Life)","The Black Eyed Peas X J Balvin"
2020-01-25,68,"BEST ON EARTH","Russ & BIA"
2020-01-25,69,"Tusa","Karol G & Nicki Minaj"
2020-01-25,70,"Take What You Want","Post Malone Featuring Ozzy Osbourne & Travis Scott"
2020-01-25,71,"Slide","H.E.R. Featuring YG"
2020-01-25,72,"We Back","Jason Aldean"
2020-01-25,73,"What She Wants Tonight","Luke Bryan"
2020-01-25,74,"Make Me Want To","Jimmie Allen"
2020-01-25,75,"I Wish Grandpas Never Died","Riley Green"
2020-01-25,76,"More Hearts Than Mine","Ingrid Andress"
2020-01-25,77,"Say So","Doja Cat"
2020-01-25,78,"Camelot","NLE Choppa"
2020-01-25,79,"Make No Sense","YoungBoy Never Broke Again"
2020-01-25,80,"Remember You Young","Thomas Rhett"
2020-01-25,81,"Easy","DaniLeigh Featuring Chris Brown"
2020-01-25,82,"Tip Toe","Roddy Ricch Featuring A Boogie Wit da Hoodie"
2020-01-25,83,"Eleven","Khalid"
2020-01-25,84,"All Dat","Moneybagg Yo X Megan Thee Stallion"
2020-01-25,85,"Leave Em Alone","Layton Greene, Lil Baby, City Girls & PnB Rock"
2020-01-25,86,"Conversations In The Dark","John Legend"
2020-01-25,87,"I Hope You're Happy Now","Carly Pearce & Lee Brice"
2020-01-25,88,"Jerry Sprunger","Tory Lanez & T-Pain"
2020-01-25,89,"Protect da Brand","Moneybagg Yo Featuring DaBaby"
2020-01-25,90,"Into The Unknown","Idina Menzel & AURORA"
2020-01-25,91,"Vete","Bad Bunny"
2020-01-25,92,"Look At Her Now.","Selena Gomez"
2020-01-25,93,"homecoming queen?","Kelsea Ballerini"
2020-01-25,94,"Watermelon Sugar","Harry Styles"
2020-01-25,95,"Nice To Meet Ya","Niall Horan"
2020-01-25,96,"July","Noah Cyrus Featuring Leon Bridges"
2020-01-25,97,"Peta","Roddy Ricch Featuring Meek Mill"
2020-01-25,98,"223's","YNW Melly & 9lokknine"
2020-01-25,99,"Slow Dance In A Parking Lot","Jordan Davis"
2020-01-25,100,"All I Want","Olivia Rodrigo"
2020-02-01,1,"The Box","Roddy Ricch"
2020-02-01,2,"Life Is Good","Future Featuring Drake"
2020-02-01,3,"Godzilla","Eminem Featuring Juice WRLD"
2020-02-01,4,"Circles","Post Malone"
2020-02-01,5,"Memories","Maroon 5"
2020-02-01,6,"10,000 Hours","Dan + Shay & Justin Bieber"
2020-02-01,7,"Dance Monkey","Tones And I"
2020-02-01,8,"Someone You Loved","Lewis Capaldi"
2020-02-01,9,"Roxanne","Arizona Zervas"
2020-02-01,10,"Lose You To Love Me","Selena Gomez"
2020-02-01,11,"Yummy","Justin Bieber"
2020-02-01,12,"Good As Hell","Lizzo"
2020-02-01,13,"BOP","DaBaby"
2020-02-01,14,"Ballin'","Mustard & Roddy Ricch"
2020-02-01,15,"Don't Start Now","Dua Lipa"
2020-02-01,16,"What A Man Gotta Do","Jonas Brothers"
2020-02-01,17,"HIGHEST IN THE ROOM","Travis Scott"
2020-02-01,18,"Good News","Mac Miller"
2020-02-01,19,"Heartless","The Weeknd"
2020-02-01,20,"High Fashion","Roddy Ricch Featuring Mustard"
2020-02-01,21,"Blinding Lights","The Weeknd"
2020-02-01,22,"The Bones","Maren Morris"
2020-02-01,23,"everything i wanted","Billie Eilish"
2020-02-01,24,"Trampoline","SHAED"
2020-02-01,25,"No Guidance","Chris Brown Featuring Drake"
2020-02-01,26,"You should be sad","Halsey"
2020-02-01,27,"Hot Girl Bummer","blackbear"
2020-02-01,28,"Darkness","Eminem"
2020-02-01,29,"Woah","Lil Baby"
2020-02-01,30,"Senorita","Shawn Mendes & Camila Cabello"
2020-02-01,31,"Those Kinda Nights","Eminem Featuring Ed Sheeran"
2020-02-01,32,"Adore You","Harry Styles"
2020-02-01,33,"Sum 2 Prove","Lil Baby"
2020-02-01,34,"Suicidal","YNW Melly & Juice WRLD"
2020-02-01,35,"Only Human","Jonas Brothers"
2020-02-01,36,"Unaccommodating","Eminem Featuring Young M.A"
2020-02-01,37,"Falling","Trevor Daniel"
2020-02-01,38,"Blue World","Mac Miller"
2020-02-01,39,"Panini","Lil Nas X"
2020-02-01,40,"My Oh My","Camila Cabello Featuring DaBaby"
2020-02-01,41,"Bad Guy","Billie Eilish"
2020-02-01,42,"Hot","Young Thug Featuring Gunna"
2020-02-01,43,"Truth Hurts","Lizzo"
2020-02-01,44,"I Don't Care","Ed Sheeran & Justin Bieber"
2020-02-01,45,"Even Though I'm Leaving","Luke Combs"
2020-02-01,46,"One Man Band","Old Dominion"
2020-02-01,47,"Bandit","Juice WRLD & YoungBoy Never Broke Again"
2020-02-01,48,"Circles","Mac Miller"
2020-02-01,49,"Sucker","Jonas Brothers"
2020-02-01,50,"Juicy","Doja Cat & Tyga"
2020-02-01,51,"Heartache Medication","Jon Pardi"
2020-02-01,52,"You Gon' Learn","Eminem Featuring Royce da 5'9"" & White Gold"
2020-02-01,53,"Kinfolks","Sam Hunt"
2020-02-01,54,"Graveyard","Halsey"
2020-02-01,55,"Tusa","Karol G & Nicki Minaj"
2020-02-01,56,"South Of The Border","Ed Sheeran Featuring Camila Cabello & Cardi B"
2020-02-01,57,"Black Swan","BTS"
2020-02-01,58,"P*$$y Fairy (OTW)","Jhene Aiko"
2020-02-01,59,"Futsal Shuffle 2020","Lil Uzi Vert"
2020-02-01,60,"Ridin' Roads","Dustin Lynch"
2020-02-01,61,"Leaving Heaven","Eminem Featuring Skylar Grey"
2020-02-01,62,"RITMO (Bad Boys For Life)","The Black Eyed Peas X J Balvin"
2020-02-01,63,"Complicated","Mac Miller"
2020-02-01,64,"Hand Me Downs","Mac Miller"
2020-02-01,65,"TOES","DaBaby Featuring Lil Baby & Moneybagg Yo"
2020-02-01,66,"Homesick","Kane Brown"
2020-02-01,67,"Premonition (Intro)","Eminem"
2020-02-01,68,"I Can See","Mac Miller"
2020-02-01,69,"VIBEZ","DaBaby"
2020-02-01,70,"Slide","H.E.R. Featuring YG"
2020-02-01,71,"In Too Deep","Eminem"
2020-02-01,72,"Heart On Ice","Rod Wave"
2020-02-01,73,"I Hope","Gabby Barrett"
2020-02-01,74,"Start Wit Me","Roddy Ricch & Gunna"
2020-02-01,75,"Woods","Mac Miller"
2020-02-01,76,"Nobody But You","Blake Shelton Duet With Gwen Stefani"
2020-02-01,77,"No Idea","Don Toliver"
2020-02-01,78,"SUGAR","BrockHampton"
2020-02-01,79,"BEST ON EARTH","Russ & BIA"
2020-02-01,80,"Everybody","Mac Miller"
2020-02-01,81,"Rare","Selena Gomez"
2020-02-01,82,"U Played","MoneyBagg Yo Featuring Lil Baby"
2020-02-01,83,"Marsh","Eminem"
2020-02-01,84,"No Regrets","Eminem Featuring Don Toliver"
2020-02-01,85,"OUT WEST","JACKBOYS Featuring Young Thug"
2020-02-01,86,"More Hearts Than Mine","Ingrid Andress"
2020-02-01,87,"I Wish Grandpas Never Died","Riley Green"
2020-02-01,88,"Make Me Want To","Jimmie Allen"
2020-02-01,89,"Lock It Up","Eminem Featuring Anderson .Paak"
2020-02-01,90,"What She Wants Tonight","Luke Bryan"
2020-02-01,91,"Surf","Mac Miller"
2020-02-01,92,"Say So","Doja Cat"
2020-02-01,93,"Stepdad","Eminem"
2020-02-01,94,"Take What You Want","Post Malone Featuring Ozzy Osbourne & Travis Scott"
2020-02-01,95,"We Back","Jason Aldean"
2020-02-01,96,"homecoming queen?","Kelsea Ballerini"
2020-02-01,97,"I Hope You're Happy Now","Carly Pearce & Lee Brice"
2020-02-01,98,"Make No Sense","YoungBoy Never Broke Again"
2020-02-01,99,"Easy","DaniLeigh Featuring Chris Brown"
2020-02-01,100,"That's On Me","Mac Miller"
2020-02-08,1,"The Box","Roddy Ricch"
2020-02-08,2,"Life Is Good","Future Featuring Drake"
2020-02-08,3,"Circles","Post Malone"
2020-02-08,4,"Memories","Maroon 5"
2020-02-08,5,"Someone You Loved","Lewis Capaldi"
2020-02-08,6,"10,000 Hours","Dan + Shay & Justin Bieber"
2020-02-08,7,"Dance Monkey","Tones And I"
2020-02-08,8,"Roxanne","Arizona Zervas"
2020-02-08,9,"Don't Start Now","Dua Lipa"
2020-02-08,10,"everything i wanted","Billie Eilish"
2020-02-08,11,"Lose You To Love Me","Selena Gomez"
2020-02-08,12,"Godzilla","Eminem Featuring Juice WRLD"
2020-02-08,13,"Good As Hell","Lizzo"
2020-02-08,14,"BOP","DaBaby"
2020-02-08,15,"Yummy","Justin Bieber"
2020-02-08,16,"Ballin'","Mustard & Roddy Ricch"
2020-02-08,17,"Bad Guy","Billie Eilish"
2020-02-08,18,"Blinding Lights","The Weeknd"
2020-02-08,19,"Heartless","The Weeknd"
2020-02-08,20,"HIGHEST IN THE ROOM","Travis Scott"
2020-02-08,21,"The Bones","Maren Morris"
2020-02-08,22,"High Fashion","Roddy Ricch Featuring Mustard"
2020-02-08,23,"Hot Girl Bummer","blackbear"
2020-02-08,24,"No Guidance","Chris Brown Featuring Drake"
2020-02-08,25,"Woah","Lil Baby"
2020-02-08,26,"Senorita","Shawn Mendes & Camila Cabello"
2020-02-08,27,"Trampoline","SHAED"
2020-02-08,28,"You should be sad","Halsey"
2020-02-08,29,"Adore You","Harry Styles"
2020-02-08,30,"What A Man Gotta Do","Jonas Brothers"
2020-02-08,31,"B.I.T.C.H.","Megan Thee Stallion"
2020-02-08,32,"Truth Hurts","Lizzo"
2020-02-08,33,"Falling","Trevor Daniel"
2020-02-08,34,"Anyone","Demi Lovato"
2020-02-08,35,"My Oh My","Camila Cabello Featuring DaBaby"
2020-02-08,36,"Suicidal","YNW Melly & Juice WRLD"
2020-02-08,37,"Only Human","Jonas Brothers"
2020-02-08,38,"Sum 2 Prove","Lil Baby"
2020-02-08,39,"Sucker","Jonas Brothers"
2020-02-08,40,"One Man Band","Old Dominion"
2020-02-08,41,"Even Though I'm Leaving","Luke Combs"
2020-02-08,42,"Heartache Medication","Jon Pardi"
2020-02-08,43,"Nobody But You","Blake Shelton Duet With Gwen Stefani"
2020-02-08,44,"I Don't Care","Ed Sheeran & Justin Bieber"
2020-02-08,45,"Hot","Young Thug Featuring Gunna"
2020-02-08,46,"Kinfolks","Sam Hunt"
2020-02-08,47,"Bandit","Juice WRLD & YoungBoy Never Broke Again"
2020-02-08,48,"Juicy","Doja Cat & Tyga"
2020-02-08,49,"Panini","Lil Nas X"
2020-02-08,50,"South Of The Border","Ed Sheeran Featuring Camila Cabello & Cardi B"
2020-02-08,51,"Tusa","Karol G & Nicki Minaj"
2020-02-08,52,"Homesick","Kane Brown"
2020-02-08,53,"RITMO (Bad Boys For Life)","The Black Eyed Peas X J Balvin"
2020-02-08,54,"Good News","Mac Miller"
2020-02-08,55,"P*$$y Fairy (OTW)","Jhene Aiko"
2020-02-08,56,"I Hope","Gabby Barrett"
2020-02-08,57,"Slide","H.E.R. Featuring YG"
2020-02-08,58,"TOES","DaBaby Featuring Lil Baby & Moneybagg Yo"
2020-02-08,59,"Heart On Ice","Rod Wave"
2020-02-08,60,"Futsal Shuffle 2020","Lil Uzi Vert"
2020-02-08,61,"VIBEZ","DaBaby"
2020-02-08,62,"BEST ON EARTH","Russ & BIA"
2020-02-08,63,"OUT WEST","JACKBOYS Featuring Young Thug"
2020-02-08,64,"Graveyard","Halsey"
2020-02-08,65,"What She Wants Tonight","Luke Bryan"
2020-02-08,66,"No Idea","Don Toliver"
2020-02-08,67,"Ridin' Roads","Dustin Lynch"
2020-02-08,68,"More Hearts Than Mine","Ingrid Andress"
2020-02-08,69,"SUGAR","BrockHampton"
2020-02-08,70,"I Wish Grandpas Never Died","Riley Green"
2020-02-08,71,"Start Wit Me","Roddy Ricch & Gunna"
2020-02-08,72,"Make Me Want To","Jimmie Allen"
2020-02-08,73,"Say So","Doja Cat"
2020-02-08,74,"We Back","Jason Aldean"
2020-02-08,75,"I Hope You're Happy Now","Carly Pearce & Lee Brice"
2020-02-08,76,"homecoming queen?","Kelsea Ballerini"
2020-02-08,77,"U Played","MoneyBagg Yo Featuring Lil Baby"
2020-02-08,78,"Blue World","Mac Miller"
2020-02-08,79,"Make No Sense","YoungBoy Never Broke Again"
2020-02-08,80,"Letter To Nipsey","Meek Mill Featuring Roddy Ricch"
2020-02-08,81,"Jerry Sprunger","Tory Lanez & T-Pain"
2020-02-08,82,"Chasin' You","Morgan Wallen"
2020-02-08,83,"Rare","Selena Gomez"
2020-02-08,84,"Slow Dance In A Parking Lot","Jordan Davis"
2020-02-08,85,"Before You Go","Lewis Capaldi"
2020-02-08,86,"Those Kinda Nights","Eminem Featuring Ed Sheeran"
2020-02-08,87,"Vete","Bad Bunny"
2020-02-08,88,"Homemade","Jake Owen"
2020-02-08,89,"Easy","DaniLeigh Featuring Chris Brown"
2020-02-08,90,"Come Thru","Summer Walker & Usher"
2020-02-08,91,"Darkness","Eminem"
2020-02-08,92,"Camelot","NLE Choppa"
2020-02-08,93,"Underdog","Alicia Keys"
2020-02-08,94,"First Man","Camila Cabello"
2020-02-08,95,"What If I Told You That I Love You","Ali Gatie"
2020-02-08,96,"Catch","Brett Young"
2020-02-08,97,"Unaccommodating","Eminem Featuring Young M.A"
2020-02-08,98,"July","Noah Cyrus Featuring Leon Bridges"
2020-02-08,99,"You Gon' Learn","Eminem Featuring Royce da 5'9"" & White Gold"
2020-02-08,100,"Dive Bar","Garth Brooks & Blake Shelton"
2020-02-15,1,"The Box","Roddy Ricch"
2020-02-15,2,"Life Is Good","Future Featuring Drake"
2020-02-15,3,"Circles","Post Malone"
2020-02-15,4,"Memories","Maroon 5"
2020-02-15,5,"Dance Monkey","Tones And I"
2020-02-15,6,"Someone You Loved","Lewis Capaldi"
2020-02-15,7,"Roxanne","Arizona Zervas"
2020-02-15,8,"10,000 Hours","Dan + Shay & Justin Bieber"
2020-02-15,9,"Don't Start Now","Dua Lipa"
2020-02-15,10,"everything i wanted","Billie Eilish"
2020-02-15,11,"Lose You To Love Me","Selena Gomez"
2020-02-15,12,"Ballin'","Mustard & Roddy Ricch"
2020-02-15,13,"BOP","DaBaby"
2020-02-15,14,"Yummy","Justin Bieber"
2020-02-15,15,"Blinding Lights","The Weeknd"
2020-02-15,16,"Good As Hell","Lizzo"
2020-02-15,17,"Heartless","The Weeknd"
2020-02-15,18,"The Bones","Maren Morris"
2020-02-15,19,"Hot Girl Bummer","blackbear"
2020-02-15,20,"Godzilla","Eminem Featuring Juice WRLD"
2020-02-15,21,"High Fashion","Roddy Ricch Featuring Mustard"
2020-02-15,22,"No Guidance","Chris Brown Featuring Drake"
2020-02-15,23,"Adore You","Harry Styles"
2020-02-15,24,"Woah","Lil Baby"
2020-02-15,25,"Bad Guy","Billie Eilish"
2020-02-15,26,"HIGHEST IN THE ROOM","Travis Scott"
2020-02-15,27,"Falling","Trevor Daniel"
2020-02-15,28,"Senorita","Shawn Mendes & Camila Cabello"
2020-02-15,29,"What A Man Gotta Do","Jonas Brothers"
2020-02-15,30,"You should be sad","Halsey"
2020-02-15,31,"My Oh My","Camila Cabello Featuring DaBaby"
2020-02-15,32,"Trampoline","SHAED"
2020-02-15,33,"I Do It","Lil Wayne Featuring Big Sean & Lil Baby"
2020-02-15,34,"Kinfolks","Sam Hunt"
2020-02-15,35,"Truth Hurts","Lizzo"
2020-02-15,36,"One Man Band","Old Dominion"
2020-02-15,37,"Only Human","Jonas Brothers"
2020-02-15,38,"Sucker","Jonas Brothers"
2020-02-15,39,"Suicidal","YNW Melly & Juice WRLD"
2020-02-15,40,"I Don't Care","Ed Sheeran & Justin Bieber"
2020-02-15,41,"Juicy","Doja Cat & Tyga"
2020-02-15,42,"Tusa","Karol G & Nicki Minaj"
2020-02-15,43,"Even Though I'm Leaving","Luke Combs"
2020-02-15,44,"RITMO (Bad Boys For Life)","The Black Eyed Peas X J Balvin"
2020-02-15,45,"Bandit","Juice WRLD & YoungBoy Never Broke Again"
2020-02-15,46,"Sum 2 Prove","Lil Baby"
2020-02-15,47,"Hot","Young Thug Featuring Gunna"
2020-02-15,48,"Heartache Medication","Jon Pardi"
2020-02-15,49,"South Of The Border","Ed Sheeran Featuring Camila Cabello & Cardi B"
2020-02-15,50,"Only The Young","Taylor Swift"
2020-02-15,51,"Homesick","Kane Brown"
2020-02-15,52,"BEST ON EARTH","Russ & BIA"
2020-02-15,53,"I Hope","Gabby Barrett"
2020-02-15,54,"Slide","H.E.R. Featuring YG"
2020-02-15,55,"Heart On Ice","Rod Wave"
2020-02-15,56,"Anyone","Demi Lovato"
2020-02-15,57,"OUT WEST","JACKBOYS Featuring Young Thug"
2020-02-15,58,"TOES","DaBaby Featuring Lil Baby & Moneybagg Yo"
2020-02-15,59,"B.I.T.C.H.","Megan Thee Stallion"
2020-02-15,60,"Physical","Dua Lipa"
2020-02-15,61,"Mahogany","Lil Wayne"
2020-02-15,62,"Nobody But You","Blake Shelton Duet With Gwen Stefani"
2020-02-15,63,"VIBEZ","DaBaby"
2020-02-15,64,"What She Wants Tonight","Luke Bryan"
2020-02-15,65,"Make Me Want To","Jimmie Allen"
2020-02-15,66,"P*$$y Fairy (OTW)","Jhene Aiko"
2020-02-15,67,"Say So","Doja Cat"
2020-02-15,68,"I Wish Grandpas Never Died","Riley Green"
2020-02-15,69,"King Of My City","A Boogie Wit da Hoodie"
2020-02-15,70,"Futsal Shuffle 2020","Lil Uzi Vert"
2020-02-15,71,"More Hearts Than Mine","Ingrid Andress"
2020-02-15,72,"We Back","Jason Aldean"
2020-02-15,73,"Letter To Nipsey","Meek Mill Featuring Roddy Ricch"
2020-02-15,74,"SUGAR","BrockHampton"
2020-02-15,75,"Heartless","Diplo Presents Thomas Wesley Featuring Morgan Wallen"
2020-02-15,76,"I Hope You're Happy Now","Carly Pearce & Lee Brice"
2020-02-15,77,"Ridin' Roads","Dustin Lynch"
2020-02-15,78,"No Idea","Don Toliver"
2020-02-15,79,"Before You Go","Lewis Capaldi"
2020-02-15,80,"Make No Sense","YoungBoy Never Broke Again"
2020-02-15,81,"Homemade","Jake Owen"
2020-02-15,82,"Good News","Mac Miller"
2020-02-15,83,"Start Wit Me","Roddy Ricch & Gunna"
2020-02-15,84,"Vete","Bad Bunny"
2020-02-15,85,"Chasin' You","Morgan Wallen"
2020-02-15,86,"homecoming queen?","Kelsea Ballerini"
2020-02-15,87,"Mama Mia","Lil Wayne"
2020-02-15,88,"Funeral","Lil Wayne"
2020-02-15,89,"Nice To Meet Ya","Meghan Trainor Featuring Nicki Minaj"
2020-02-15,90,"Slow Dance In A Parking Lot","Jordan Davis"
2020-02-15,91,"Come Thru","Summer Walker & Usher"
2020-02-15,92,"Jerry Sprunger","Tory Lanez & T-Pain"
2020-02-15,93,"Get Me","Justin Bieber Featuring Kehlani"
2020-02-15,94,"Catch","Brett Young"
